"name","sku","stocks","is_active","price","colors","sizes"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-40-NOIR","13","true","120.0","Noir","40"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-41-NOIR","7","true","120.0","Noir","41"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-42-NOIR","9","true","120.0","Noir","42"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-43-NOIR","12","true","120.0","Noir","43"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-44-NOIR","19","true","120.0","Noir","44"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-45-NOIR","5","true","120.0","Noir","45"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-46-NOIR","9","true","120.0","Noir","46"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-47-NOIR","24","true","120.0","Noir","47"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-40-VERT","13","true","120.0","Vert","40"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-41-VERT","7","true","120.0","Vert","41"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-42-VERT","9","true","120.0","Vert","42"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-43-VERT","12","true","120.0","Vert","43"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-44-VERT","19","true","120.0","Vert","44"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-45-VERT","5","true","120.0","Vert","45"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-46-VERT","9","true","120.0","Vert","46"
"Graspifier Homme","VIBRAM-GRASPIFIER-H-47-VERT","24","true","120.0","Vert","47"
"Graspifier Femme","VIBRAM-GRASPIFIER-F-36-NOIR","15","true","120.0","Noir","36"
"Graspifier Femme","VIBRAM-GRASPIFIER-F-37-NOIR","20","true","120.0","Noir","37"
"Graspifier Femme","VIBRAM-GRASPIFIER-F-38-NOIR","11","true","120.0","Noir","38"
"Graspifier Femme","VIBRAM-GRASPIFIER-F-40-NOIR","12","true","120.0","Noir","40"
"Graspifier Femme","VIBRAM-GRASPIFIER-F-42-NOIR","22","true","120.0","Noir","42"
"Graspifier Femme","VIBRAM-GRASPIFIER-F-36-VERT","15","true","120.0","Vert","36"
"Graspifier Femme","VIBRAM-GRASPIFIER-F-37-VERT","20","true","120.0","Vert","37"
"Graspifier Femme","VIBRAM-GRASPIFIER-F-38-VERT","11","true","120.0","Vert","38"
"Graspifier Femme","VIBRAM-GRASPIFIER-F-40-VERT","12","true","120.0","Vert","40"
"Graspifier Femme","VIBRAM-GRASPIFIER-F-42-VERT","22","true","120.0","Vert","42"
"KMD EVO Homme","VIBRAM-KMD EVO-H-40-NOIR","25","true","190.0","Noir","40"
"KMD EVO Homme","VIBRAM-KMD EVO-H-41-NOIR","17","true","190.0","Noir","41"
"KMD EVO Homme","VIBRAM-KMD EVO-H-42-NOIR","12","true","190.0","Noir","42"
"KMD EVO Homme","VIBRAM-KMD EVO-H-43-NOIR","16","true","190.0","Noir","43"
"KMD EVO Homme","VIBRAM-KMD EVO-H-44-NOIR","6","true","190.0","Noir","44"
"KMD EVO Homme","VIBRAM-KMD EVO-H-40-VERT","25","true","190.0","Vert","40"
"KMD EVO Homme","VIBRAM-KMD EVO-H-41-VERT","17","true","190.0","Vert","41"
"KMD EVO Homme","VIBRAM-KMD EVO-H-42-VERT","12","true","190.0","Vert","42"
"KMD EVO Homme","VIBRAM-KMD EVO-H-43-VERT","16","true","190.0","Vert","43"
"KMD EVO Homme","VIBRAM-KMD EVO-H-44-VERT","6","true","190.0","Vert","44"
"KMD EVO Homme","VIBRAM-KMD EVO-H-40-BLANC","25","true","190.0","Blanc","40"
"KMD EVO Homme","VIBRAM-KMD EVO-H-41-BLANC","17","true","190.0","Blanc","41"
"KMD EVO Homme","VIBRAM-KMD EVO-H-42-BLANC","12","true","190.0","Blanc","42"
"KMD EVO Homme","VIBRAM-KMD EVO-H-43-BLANC","16","true","190.0","Blanc","43"
"KMD EVO Homme","VIBRAM-KMD EVO-H-44-BLANC","6","true","190.0","Blanc","44"
"KMD EVO Femme","VIBRAM-KMD EVO-F-36-NOIR","22","true","190.0","Noir","36"
"KMD EVO Femme","VIBRAM-KMD EVO-F-37-NOIR","5","true","190.0","Noir","37"
"KMD EVO Femme","VIBRAM-KMD EVO-F-38-NOIR","12","true","190.0","Noir","38"
"KMD EVO Femme","VIBRAM-KMD EVO-F-39-NOIR","14","true","190.0","Noir","39"
"KMD EVO Femme","VIBRAM-KMD EVO-F-40-NOIR","14","true","190.0","Noir","40"
"KMD EVO Femme","VIBRAM-KMD EVO-F-36-MARRON","22","true","190.0","Marron","36"
"KMD EVO Femme","VIBRAM-KMD EVO-F-37-MARRON","5","true","190.0","Marron","37"
"KMD EVO Femme","VIBRAM-KMD EVO-F-38-MARRON","12","true","190.0","Marron","38"
"KMD EVO Femme","VIBRAM-KMD EVO-F-39-MARRON","14","true","190.0","Marron","39"
"KMD EVO Femme","VIBRAM-KMD EVO-F-40-MARRON","14","true","190.0","Marron","40"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-41-N","8","true","160.0","N","41"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-42-N","9","true","160.0","N","42"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-43-N","12","true","160.0","N","43"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-44-N","17","true","160.0","N","44"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-45-N","13","true","160.0","N","45"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-41-O","8","true","160.0","o","41"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-42-O","9","true","160.0","o","42"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-43-O","12","true","160.0","o","43"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-44-O","17","true","160.0","o","44"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-45-O","13","true","160.0","o","45"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-41-I","8","true","160.0","i","41"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-42-I","9","true","160.0","i","42"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-43-I","12","true","160.0","i","43"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-44-I","17","true","160.0","i","44"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-45-I","13","true","160.0","i","45"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-41-R","8","true","160.0","r","41"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-42-R","9","true","160.0","r","42"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-43-R","12","true","160.0","r","43"
"V-Trail 2.0 Homme","VIBRAM-V-TRAIL 2.0-H-44-R","17","true","160.0","r","44"
